username	password	u_f_name	u_l_name	roles
roland	roland	Roland	Around	inventory_clerk,manager,owner,sales_person,service_writer
user01	pass01	Kris	Maisto	sales_person
user02	pass02	Dyan	Weglarz	manager
user03	pass03	Vi	Shields	inventory_clerk
user04	pass04	Pete	Butzen	sales_person
user05	pass05	Vi	Hoopengardner	inventory_clerk
user06	pass06	Sylvia	Rodenberger	sales_person
user07	pass07	Elke	Perez	inventory_clerk
user08	pass08	France	Matuszak	sales_person
user09	pass09	Novella	Gillian	inventory_clerk
user10	pass10	Paz	Sayaphon	sales_person
user11	pass11	Margart	Hoopengardner	inventory_clerk
user12	pass12	Gearldine	Discipio	service_writer
user13	pass13	Amber	Scheyer	service_writer
user14	pass14	Melissa	Shealy	inventory_clerk
user15	pass15	Yvonne	Poullion	service_writer
user16	pass16	Elvera	Funnell	inventory_clerk
user17	pass17	Sylvie	Lueckenbach	service_writer
user18	pass18	Viola	Reitler	inventory_clerk
user19	pass19	Delisa	Lary	sales_person
user20	pass20	Stephaine	Kitty	inventory_clerk
user21	pass21	Dyan	Lary	sales_person
user22	pass22	Glenn	Vocelka	sales_person
user23	pass23	Nan	Restrepo	sales_person
user24	pass24	Nobuko	Leto	manager
user25	pass25	Simona	Pawlowicz	inventory_clerk
user26	pass26	Nan	Dilliard	inventory_clerk
user27	pass27	Blondell	Juhas	inventory_clerk
user28	pass28	Youlanda	Nayar	manager
user29	pass29	Yvonne	Tillotson	service_writer
user30	pass30	Jenelle	Palaia	service_writer
user31	pass31	Leslie	Cloney	manager
user32	pass32	Glendora	Butt	sales_person
user33	pass33	Jacqueline	Campain	service_writer
